Minisector,VET,SAI,Fastest
0,276.2537085399324,267.2402326192431,VET
1,294.80658435534974,286.7000032644184,VET
2,300.62896361059313,292.18786991531834,VET
3,133.24351528974472,125.75517200592446,VET
4,198.5633762311766,196.77855987119221,VET
5,263.19203767600266,254.53487149134045,VET
6,143.46360931992947,137.0729362554697,VET
7,209.73292160269392,201.65533918996698,VET
8,265.8100683637724,258.35972794533234,VET
9,284.9473814136178,280.1079824055884,VET
10,241.8411497892633,230.98963334904875,VET
11,183.665357923579,169.03769855431062,VET
12,192.45105927723824,187.4974803280432,VET
13,145.91956346712004,139.09718929849512,VET
14,176.59028013336248,172.0390384296296,VET
15,161.69230271274958,153.21528647023553,VET
16,218.00444311267276,218.48761567242255,SAI
17,236.82664662961696,224.91403991713344,VET
18,239.82633795342562,232.28460815230102,VET
19,249.4122396102248,231.4608564266502,VET
20,142.34309587290016,143.66405015847727,SAI
21,139.06647638737095,127.85584169628699,VET
22,168.86321195570684,168.8858965118031,SAI
23,151.02930861308178,145.53150800692956,VET
24,232.822280406797,229.8614768736361,VET
25,262.32142628571427,,VET
