Minisector,RUS,NOR,Fastest
0,270.5695008571428,270.7930380421602,NOR
1,288.1101723829368,290.7049072998068,NOR
2,276.07735216761904,257.6285175944462,RUS
3,146.5537477272369,147.59417415897602,NOR
4,186.39628378304118,183.695728915092,RUS
5,169.75704461218163,171.8846377115076,NOR
6,157.95593857177164,159.3469118615397,NOR
7,182.96406582944613,187.88171921825398,NOR
8,235.35398512727184,238.34300055437325,NOR
9,232.95276496507935,214.0278673531699,RUS
10,139.5807103833276,136.94430157093166,RUS
11,215.65259680723952,209.79986369911404,RUS
12,102.0973506962471,101.10081062122524,RUS
13,207.82828914144247,210.58072167331218,NOR
14,262.7037083854968,263.1734536315617,NOR
15,273.0761230872381,264.2525050067218,RUS
16,169.4441491952055,163.0203203841981,RUS
17,155.95638662772487,154.02807198006766,RUS
18,250.37543549401212,252.0779726587379,NOR
19,276.26533534376813,280.1244008690332,NOR
20,286.30004876190475,291.42050965465836,NOR
21,282.1179882628839,264.1524098204594,RUS
22,248.3710044665904,212.31683515349664,RUS
23,100.71100892550416,102.51778034378596,NOR
24,223.1795184142222,217.4530315434036,RUS
25,257.01500032,,RUS
