Minisector,RAI,ALO,Fastest
0,275.02686635650025,268.82857122539684,RAI
1,301.3763883259259,292.3141217311016,RAI
2,315.8752227904762,304.85177049957235,RAI
3,323.76936250980395,312.11778711484595,RAI
4,328.87959483207345,316.776302,RAI
5,331.4270833333333,321.7516910911872,RAI
6,219.65790994285715,208.10224370402932,RAI
7,105.70695545400214,107.27941028696308,ALO
8,185.30892601904762,182.54738528268769,RAI
9,264.2894036342857,259.8519995640631,RAI
10,294.6944436740741,289.8054823859649,RAI
11,180.1204845991999,165.2072486231552,RAI
12,94.59300322272348,99.33408261101636,ALO
13,114.18718563152504,116.03719765163027,ALO
14,223.75049596825397,221.04202126058016,RAI
15,182.51522275981895,191.69120331851852,ALO
16,220.0592756825397,229.2092772809638,ALO
17,181.6010239565627,184.96652259310343,ALO
18,232.99426243463205,236.66536114199496,ALO
19,278.4017533754386,277.8053019875443,RAI
20,261.22564181523285,253.6928307011338,RAI
21,142.68190832280703,146.68508271134488,ALO
22,96.11018198929767,95.86974031169436,RAI
23,124.10170423167125,124.06888368746016,RAI
24,226.15781053333333,221.47225177017523,RAI
25,,252.7624992,ALO
