Minisector,PER,LEC,Fastest
0,294.6921589057326,292.52812501333335,PER
1,296.8675438596491,292.9972147746238,PER
2,297.479443608638,293.43859649122805,PER
3,234.42567811638443,229.55486594410183,PER
4,238.29982697777777,228.235165696,PER
5,116.89174986755519,114.63946442536765,PER
6,220.06779163700753,216.2983523282051,PER
7,269.55995637056276,267.7232888090107,PER
8,236.09000213333331,250.63043311304347,LEC
9,117.34116683319613,115.14203134366748,PER
10,236.67059034273063,233.02309585066666,PER
11,258.0843617108225,252.53869329637183,PER
12,140.98118154374473,137.04489660952382,PER
13,212.3438261728395,209.60737511781858,PER
14,268.5675167419501,268.22491522902493,PER
15,229.12268634074076,225.98504793563623,PER
16,161.38434777955138,155.7977082817408,PER
17,242.65362286376813,241.95518380160786,PER
18,128.7368824033553,123.24012623021262,PER
19,147.83117479751365,144.18202181464707,PER
20,191.99755673431858,192.10490779366998,LEC
21,257.7399509193936,260.22159122424245,LEC
22,275.1484068366888,273.9862206170003,PER
23,280.1897915504762,279.6494049015873,PER
24,289.4846540631649,286.03115083174606,PER
