Minisector,HUL,ALB,Fastest
0,276.22861153710284,278.24945950281824,ALB
1,293.7030996171274,299.70665926557,ALB
2,288.5392237238598,298.11719886980416,ALB
3,174.75410005963528,180.6111125614614,ALB
4,116.6118580534224,118.44034934481519,ALB
5,235.74648820876786,237.249392840599,ALB
6,279.35774156918166,283.3275790828297,ALB
7,288.1180057004329,297.6306380824291,ALB
8,174.86848252486774,170.4969482669303,HUL
9,140.96418747475943,144.02222608517584,ALB
10,250.7143886309297,254.40180431629258,ALB
11,286.3390364687973,293.65425442469694,ALB
12,300.50507009587767,302.7641871062857,ALB
13,280.0695596643771,278.0993270780913,HUL
14,299.71836058320343,304.8800140037125,ALB
15,296.2941808979488,300.6983064198663,ALB
16,250.23495160439558,237.7931474476402,HUL
17,228.01488153625954,220.43840307220228,HUL
18,278.4716194115751,281.82780672465583,ALB
19,302.1070964723022,308.1024133205988,ALB
20,305.75288088694464,306.51577385574603,ALB
21,238.97529295563467,227.24530830931585,HUL
22,260.21539445106146,261.8333357353484,ALB
23,141.09626592426807,131.04090052045646,HUL
24,218.0700247496658,224.49105538145676,ALB
