Minisector,GAS,STR,Fastest
0,263.3496121612694,263.08880179753936,GAS
1,250.19352138271606,250.08205054358976,GAS
2,167.52314161549512,166.75448883291213,GAS
3,247.2221110574956,249.31113540347383,STR
4,271.39078807168056,267.54461804444446,GAS
5,189.61282177807152,197.01186558838168,STR
6,121.87847163440168,125.18331752700695,STR
7,160.46222984954733,153.90257701220304,GAS
8,259.0488767179487,255.92899856112533,GAS
9,182.83049350040494,191.9967450845149,STR
10,183.20927619504974,175.1138803762489,GAS
11,256.40295897764344,256.10924127685144,GAS
12,247.36119677000443,241.10219352382214,GAS
13,254.44877566811815,254.65590062017202,STR
14,282.12210054492755,279.4012684400801,GAS
15,288.2381400013223,286.30929094765503,GAS
16,148.60468532690572,150.46650319968984,STR
17,237.75346111724755,234.69771942184056,GAS
18,281.7546369777778,282.0587426289539,STR
19,293.67348480000004,294.71819353706,STR
20,297.1856603291274,299.16984132063493,STR
21,298.46539867826084,302.43371209696966,STR
22,150.72368622900723,167.0028970539339,STR
23,91.7586934900067,91.98808872689955,STR
24,177.8509628377084,176.9770657347978,GAS
25,245.541664,247.12500053333332,STR
