Minisector,HAM,LIN,Fastest
0,133.70193195669518,162.33737945806453,LIN
1,153.2395886556322,127.47877707690404,HAM
2,212.40800963838635,150.07993860491914,HAM
3,245.79558732698413,197.31108530468572,HAM
4,271.2872164,212.04608740669832,HAM
5,283.6812809333292,177.35228617142857,HAM
6,307.0734384,106.09983914551542,HAM
7,315.04009509285714,136.95980898206898,HAM
8,319.50269243076923,170.85480339178983,HAM
9,320.69437488,149.0775224304762,HAM
10,319.4906047587097,146.3802014967742,HAM
11,269.7033233066667,136.5820751,HAM
12,199.13463193777454,157.10594124032582,HAM
13,107.39231820057971,198.43599999999998,LIN
14,94.76065602454202,237.22769271755695,LIN
15,135.10931230592288,247.68812491555553,LIN
16,182.75729288205127,222.62318749776554,LIN
17,214.7206192549761,188.90499967999997,HAM
18,236.71521780869566,216.0954362897547,HAM
19,209.61904761904762,239.31111111111113,LIN
20,147.4223664746902,265.5097071831579,LIN
21,123.18263174736842,262.10262479398494,LIN
22,142.8436556848485,194.73497120914286,LIN
23,197.43593984447844,123.46833408,HAM
24,229.23339442705313,,HAM
