Minisector,PER,NOR,Fastest
0,250.63803089972313,249.316409389914,PER
1,128.70575894398368,117.45444652007038,PER
2,257.54031985401554,256.90037259080714,PER
3,297.80522379792586,298.2548972516256,NOR
4,295.85741710512474,297.451894932957,NOR
5,304.7141858105983,302.08203241342915,PER
6,310.01573959969863,307.17584508124634,PER
7,310.2651707821906,306.1452590557091,PER
8,188.48116602081768,191.97572040676852,NOR
9,192.31042137657306,192.5688556395723,NOR
10,187.45751190266375,174.90871533429174,PER
11,169.1812352451723,168.65187975432968,PER
12,249.30527602333666,248.9934132303525,PER
13,270.2669237794264,272.6600361055448,NOR
14,272.1485861237732,278.10062043372136,NOR
15,271.610202799093,257.0879008017336,PER
16,180.50124567609686,182.71663244105105,NOR
17,177.98300647786624,181.12939086482208,NOR
18,231.9004931276551,233.59210019443,NOR
19,283.9648265358824,281.05548608873727,PER
20,305.90274386879406,302.3381629952,PER
21,313.87750630468133,309.70198497037035,PER
22,315.06290749655676,309.12799380881836,PER
23,258.75953294863103,209.70027237844147,PER
24,113.78669154201681,107.08682721397057,PER
