Minisector,VER,BOT,Fastest
0,279.62195558941795,283.97678788571426,BOT
1,117.68878291760473,118.22075792067686,BOT
2,156.49322277412168,158.41768536934242,BOT
3,209.16402356441205,210.0970926026331,BOT
4,160.31208595017637,158.93535443455784,VER
5,241.43075967602124,239.06835622654688,VER
6,231.60017610774614,199.38945311047618,VER
7,135.9542096155973,130.33690486666666,VER
8,233.6928457528757,238.5265511560998,BOT
9,272.5917750559617,282.69869331747896,BOT
10,281.05590068888887,286.4319217189803,BOT
11,148.00217381541125,139.5328493087428,VER
12,216.34772478747763,216.72579310545453,BOT
13,267.10382885829176,268.08238830650504,BOT
14,270.7260860177915,256.66468132857443,VER
15,102.2645033448912,98.16346200153158,VER
16,216.86552338934135,219.3934774109091,BOT
17,270.2727616048892,271.0259850745218,BOT
18,290.11911215574816,298.54470403492064,BOT
19,302.06264665681306,313.4594875977143,BOT
20,308.78260424,322.53129138133335,BOT
21,290.48456378695397,277.1487324749963,VER
22,150.55844203930633,142.32813321107838,VER
23,227.9417706660691,233.91788210146578,BOT
24,271.5742713424455,282.67048825227516,BOT
25,283.67142948571427,297.0,BOT
