Minisector,NOR,HAD,Fastest
0,261.43471986571427,244.73312409481483,NOR
1,137.26716924461698,132.755980835745,NOR
2,204.06504139174604,202.33532847238095,NOR
3,249.06726592101586,240.67619221865817,NOR
4,258.70380169329286,256.5345120386552,NOR
5,181.4441351695238,182.7355861586462,HAD
6,157.13789951301126,145.37866543509477,NOR
7,194.14020743472682,182.760714615873,NOR
8,107.80194275138942,102.60158140491819,NOR
9,74.9008318690053,74.17538147639365,NOR
10,96.69577175041796,96.01952978784085,NOR
11,186.2637356379824,181.14819057181612,NOR
12,250.0115560391111,240.01801294048175,NOR
13,271.6505372685981,262.48628254420515,NOR
14,285.0679167827552,268.5541096723078,NOR
15,109.44098527034922,107.28992983527061,NOR
16,155.42655464498037,142.84779072172591,NOR
17,188.09187277034025,178.882686688,NOR
18,208.20487481400562,195.15591604159698,NOR
19,223.6178671514074,211.34263606328176,NOR
20,146.20897148713817,133.51410357469925,NOR
21,111.5486588148157,109.14083055654797,NOR
22,105.10516563800404,104.7679052612607,NOR
23,204.79994988395123,203.03135399572872,NOR
24,258.2162166933333,247.60861908126853,NOR
25,266.8750034285714,,NOR
