Minisector,PER,LEC,Fastest
0,302.64079548657077,296.96066576311716,PER
1,155.039626305775,158.97727705066197,LEC
2,147.25844215361064,151.29209615151112,LEC
3,225.4460640590912,227.7926486779917,LEC
4,287.6151578629095,287.35117217333334,PER
5,290.6814715398347,298.03055369929325,LEC
6,141.15322342423335,150.94223898745267,LEC
7,141.96428748914244,144.03691453002978,LEC
8,144.4972546646634,149.75854602989898,LEC
9,185.86141092519284,178.4297116048599,PER
10,126.47965323294484,142.88350774139374,LEC
11,134.01803228170377,127.53594478045181,PER
12,159.1155727659925,156.30052571182233,PER
13,268.3196016,267.17888074309894,PER
14,291.5655328872727,293.5572993091626,LEC
15,153.67033619285465,157.80281904392254,LEC
16,198.3857854004535,208.5958066539505,LEC
17,169.6176796624409,154.7345114233614,PER
18,271.22630585778086,266.0537012818358,PER
19,295.9567183610582,295.48848826833677,PER
20,311.12344105187304,309.99151921146705,PER
21,319.3966228710559,318.6972267532629,PER
22,323.47604169356725,323.6101339611429,LEC
23,325.89923274816056,326.19415173168073,LEC
24,326.56804686,327.4427352777716,LEC
25,327.0,326.25,PER
