Minisector,SAI,PER,Fastest
0,310.85074577403503,310.0425797164815,SAI
1,219.50883152306739,212.83140991544033,SAI
2,142.9441728166616,141.1192097777926,SAI
3,220.58544955767195,224.17770738956054,PER
4,169.85207429866665,166.60353988422486,SAI
5,172.96615046002887,175.20974540142046,PER
6,250.76338297512459,254.81074475238097,PER
7,278.16365123555556,282.29617819364825,PER
8,288.1060716816931,291.2000834915555,PER
9,260.3975611629082,268.4078564198942,PER
10,238.34347853101684,242.52534868917175,PER
11,243.9640684710686,233.8874089771731,SAI
12,201.42099746489964,196.5342679397952,SAI
13,131.23231544509508,122.71420586235926,SAI
14,134.61697848296296,128.90475586162123,SAI
15,170.77452181281308,170.48515655532415,SAI
16,252.7192892127731,249.47819770188042,SAI
17,253.90418628510213,235.68901823041364,SAI
18,114.34916163062648,114.7856778993348,PER
19,199.082108158796,200.12509315751905,PER
20,197.7916962548846,201.09922135366043,PER
21,237.76516945964588,235.5638843683744,SAI
22,274.88115147089945,266.577048021112,SAI
23,297.3509484781513,286.80331990453783,SAI
24,314.507068400538,302.19896184550265,SAI
25,320.81000064,,SAI
