Minisector,STR,OCO,Fastest
0,271.29917128707484,273.66622530934745,OCO
1,291.4311856409019,291.9568096082822,OCO
2,289.25038882133333,288.64678577980953,STR
3,181.31051166773628,186.70110558428684,OCO
4,123.40166649010966,125.89678585098184,OCO
5,236.83093555977305,237.41207771809522,OCO
6,280.5622191634804,279.44366695630026,STR
7,297.6505783555555,286.5961540923077,STR
8,184.04693897223765,180.68027803090297,STR
9,140.4151092735206,146.16131728865196,OCO
10,249.39350542111444,249.76795928275862,OCO
11,285.25727931750384,281.86488526652954,STR
12,298.1837617859048,288.2254763702857,STR
13,278.781646510483,272.4458331259259,STR
14,298.02302403047617,294.88268825396824,STR
15,302.9518529128885,295.42983362438093,STR
16,253.19160987584718,250.76611312446636,STR
17,220.01008137922355,228.8664180144451,OCO
18,279.17885846913583,279.6448027604396,OCO
19,305.20713608861126,300.9720485777778,STR
20,312.0032608,301.59383120592594,STR
21,226.5167706518294,229.90762666190477,OCO
22,257.40379973601864,254.71241076717476,STR
23,136.49415639439167,139.1704240595911,OCO
24,209.8562730165405,215.25799818618125,OCO
