Minisector,ALO,PER,Fastest
0,230.25682617510978,232.04827502601452,PER
1,280.915880832,281.72839462716047,PER
2,293.47743026666666,296.4624494365609,PER
3,297.6470547667537,303.2883282020704,PER
4,263.5831563941582,267.9776315269704,PER
5,163.7467311246697,165.78581864624633,PER
6,257.3901802622111,261.25928103844797,PER
7,276.9709876148148,277.5118947559242,PER
8,213.67790678250935,203.9917136036063,ALO
9,216.90694357979797,215.55530539916697,ALO
10,180.4646032744734,169.57189965891473,ALO
11,220.4595939872876,224.05277750789506,PER
12,199.16576634234235,192.88384310307694,ALO
13,210.3164989840825,198.67599822084944,ALO
14,213.50966721385282,210.7566664519129,ALO
15,181.07945319836526,170.57671418243848,ALO
16,245.80412088285286,246.60100498390807,PER
17,283.01519021104764,284.24975801655785,PER
18,293.8820759492921,299.096310862793,PER
19,281.9308214574956,282.8708026173337,PER
20,132.32015645914228,129.41838146937533,ALO
21,156.5374440703773,158.8875691965808,PER
22,151.1023152254114,152.8081231967664,PER
23,200.42105704423162,202.90914462222224,PER
24,145.388197975518,147.67210054888588,PER
25,182.5583264,,ALO
