Minisector,RUS,HAM,Fastest
0,251.31156693565808,252.82662749767223,HAM
1,218.2837950171051,208.82653924359724,RUS
2,203.64632802930674,202.41848281311374,RUS
3,260.1322436695162,253.69504388694017,RUS
4,272.36417376693595,266.47211077095005,RUS
5,291.5868900840671,284.6678572669948,RUS
6,151.09215821925645,159.2835816761684,HAM
7,175.74085309739124,182.67958856104016,HAM
8,269.38664577386743,272.6645322847118,HAM
9,298.70094245300214,307.8612514646879,HAM
10,309.73245517493564,324.5787318847832,HAM
11,312.9662168503486,331.3997016256945,HAM
12,111.59443699429598,111.20077756298579,RUS
13,187.00857438994305,189.62287513894887,HAM
14,270.64926727392424,268.69789401487344,RUS
15,296.1614656620094,293.504319151746,RUS
16,300.76283031816575,296.8394247464212,RUS
17,183.24096546115985,186.23010606478593,HAM
18,211.84832102246585,213.5512064222048,HAM
19,263.8664231106347,265.7969003382904,HAM
20,153.8188721010518,154.69391041241278,HAM
21,138.72211358804574,145.54037313775868,HAM
22,210.83786038620667,219.09214357621474,HAM
23,227.73044330012763,231.80239058402375,HAM
24,161.22089429416553,155.06138705196273,RUS
25,222.5,226.37185901204487,HAM
