Minisector,NOR,RIC,Fastest
0,281.98204544000004,285.8899128633555,RIC
1,210.52967445681404,204.3184907972286,NOR
2,223.03976253226665,229.30063331470643,RIC
3,270.00107173206345,270.14713266996824,RIC
4,243.95247936147564,241.85030611696067,NOR
5,128.7339831925923,131.48899862729834,RIC
6,210.1553301486123,210.22579515576547,RIC
7,254.6878913770545,258.4742614401616,RIC
8,240.34540399175407,241.9563964514152,RIC
9,228.06668668041516,230.0555011646984,RIC
10,270.6326280688133,272.4553747559116,RIC
11,288.85749712610846,289.3907335205776,RIC
12,298.72587740016706,299.44845481058985,RIC
13,303.30371437104765,304.89595239619047,RIC
14,296.1655012939327,298.26403831085713,RIC
15,248.34279875746032,248.76628688902542,RIC
16,240.0147320214355,240.11354972729362,RIC
17,276.1940243051429,276.91556028412566,RIC
18,282.41862463318034,282.44059509333334,RIC
19,157.0640542845113,151.6131792608826,NOR
20,212.2952113774587,211.6133455584158,NOR
21,187.442709627013,176.42374805154387,NOR
22,140.56756674775855,139.3384190188187,NOR
23,234.53378034140934,235.65983786974834,RIC
24,276.05976429298704,276.37235627186345,RIC
25,285.57857188571427,,NOR
