Minisector,RUS,ALO,Fastest
0,290.0980101213033,289.02212938235095,RUS
1,298.598423032381,290.8344395920772,RUS
2,162.68817001018962,157.65576173800093,RUS
3,221.43081765003177,218.1230185432568,RUS
4,273.3467633351111,271.1975392955093,RUS
5,293.6497708820915,292.7202615365079,RUS
6,303.93761554225955,302.5125067970658,RUS
7,176.11480982058336,153.6665685094334,RUS
8,132.41671904963778,129.49454177732048,RUS
9,251.42815429818182,251.95956210680777,ALO
10,285.41531201600003,283.9628223347224,RUS
11,293.3050320097959,290.4569182459893,RUS
12,137.61528524796964,133.97315558910364,RUS
13,196.39473028955106,198.1716130887749,ALO
14,257.4719637622857,251.9017550245989,RUS
15,194.32061890302714,191.35716055094815,RUS
16,219.16386588433207,208.5254965206349,RUS
17,208.602808745679,201.83088709716807,RUS
18,241.2745296013877,242.09126017443612,ALO
19,273.72134330039216,275.9092047825818,ALO
20,291.341975826704,294.2700463288889,ALO
21,260.89736296755905,256.156414992,RUS
22,212.52603309638724,199.41833624166688,RUS
23,195.59685884639805,199.59548964483852,ALO
24,263.36015766603174,267.3415082996825,ALO
