Minisector,LEC,STR,Fastest
0,279.5145243755026,275.1806340280435,LEC
1,296.16210573468095,292.638773020314,LEC
2,294.3353748458639,290.59732688776734,LEC
3,176.12253862179443,171.0870377782139,LEC
4,125.2479519723836,125.97721891227073,STR
5,243.1301568893879,238.27542931444881,LEC
6,283.3085489420254,278.1544920560315,LEC
7,292.75350761997265,280.39794369034126,LEC
8,180.7603295981117,183.335437921884,STR
9,148.31398930360135,146.99604965011602,LEC
10,257.7355024071562,252.76836609567567,LEC
11,291.5359474753928,287.30483444798824,LEC
12,298.3617840626742,299.45901363558283,STR
13,278.2234602158759,280.7143309779022,STR
14,296.52566917759503,292.633239508966,LEC
15,301.63230717490575,294.9792114250225,LEC
16,247.9906732495238,256.4663441721628,STR
17,222.7623809456892,227.91307656190477,STR
18,276.94120414814813,274.1106741696975,LEC
19,298.5275718789763,292.24479162222224,LEC
20,302.7988329386667,297.26859323746487,LEC
21,231.05344035255163,229.58927218566566,LEC
22,262.88524697142856,254.75236531293748,LEC
23,142.31006301653457,140.39196334634443,LEC
24,225.07385734517297,220.36997888451347,LEC
