Minisector,BOT,VET,Fastest
0,287.22437183673924,268.42814650340136,BOT
1,311.59523784873954,284.97197747854557,BOT
2,312.4605376627451,292.23034994447113,BOT
3,131.78668383420757,130.38366809745582,BOT
4,212.01502949600464,199.9759602465915,BOT
5,263.97618097513487,254.78619584580497,BOT
6,146.38990947030427,144.94986615712395,BOT
7,215.69516689066666,209.3698170662821,BOT
8,264.9554285139978,257.5112813133787,BOT
9,282.50621014984546,276.6325299047619,BOT
10,230.56141328695654,243.5421133786682,VET
11,190.09975243705304,182.37604747351008,BOT
12,207.03164050477494,195.4075158407655,BOT
13,148.72524297020084,149.0286916927677,VET
14,189.34941618233793,183.3068601649128,BOT
15,176.0784545403689,164.3280480738817,BOT
16,229.7678822095238,218.59809057710245,BOT
17,249.31199616853198,239.90126803478262,BOT
18,248.91560651131832,242.4287873939394,BOT
19,236.9733496607018,244.31251115809332,VET
20,150.97253696426532,143.2205453429968,BOT
21,135.04886211113143,133.7751351834654,BOT
22,183.43536489195404,174.7766761153245,BOT
23,160.31096458499977,149.9656449746951,BOT
24,236.43003386666666,227.65967271046716,BOT
25,,256.24583359999997,VET
