Minisector,SAI,ALO,Fastest
0,292.87462777610125,279.6309051410728,SAI
1,139.80702419961267,140.6585698095724,ALO
2,217.6428959830291,206.03044375211837,SAI
3,281.68722959481687,272.6661026150111,SAI
4,309.6629553037242,319.3695917187527,ALO
5,304.4967985893128,279.67178967965583,SAI
6,154.01356436351958,143.48202146572504,SAI
7,241.4901950639344,244.25330918489678,ALO
8,110.55167682543741,107.02770153107903,SAI
9,165.1285460854329,167.1927667380341,ALO
10,277.40061939420195,275.995885060228,SAI
11,297.97526623749366,298.12201784135067,ALO
12,221.3067170569412,220.79748058168497,SAI
13,166.39978096873043,172.3505668343518,ALO
14,276.9975672420616,269.60302901759997,SAI
15,310.70718767140556,310.1810006348511,SAI
16,323.95118545305485,321.6224610682844,SAI
17,332.16750653391136,331.7702616129032,SAI
18,335.6706124621619,340.6501119510216,ALO
19,332.1239930057143,345.23959526019047,ALO
20,202.6747427501579,166.2832801345839,SAI
21,167.17797226405062,180.63563951719078,ALO
22,276.06255897791493,282.57765143334643,ALO
23,310.74393745985384,313.02180715870827,ALO
24,320.4208227396894,323.62163066069945,ALO
