Minisector,STR,NOR,Fastest
0,316.685191384669,301.09382216756654,STR
1,156.44990107347655,153.86949530658285,STR
2,149.0349767061369,152.01265705642695,NOR
3,230.19177380498593,220.31732804532035,STR
4,285.83301698782367,283.66102625545074,STR
5,291.91288737391307,290.2628001169231,STR
6,142.47592464571684,154.66895484582946,NOR
7,139.20883160349553,138.67018266995595,STR
8,143.2797517294309,155.91505909226856,NOR
9,189.5224679783448,153.20505359390722,STR
10,126.86280589651237,134.13798588807225,NOR
11,125.81076259297744,134.5127055815214,NOR
12,175.26163602929057,140.41395080835036,STR
13,266.9387610777401,258.39476531209567,STR
14,291.0744332922737,287.9764062413223,STR
15,146.87799856317432,162.6823433725769,NOR
16,205.63286498408976,210.1770008508204,NOR
17,162.1466083460782,154.10005595996455,STR
18,268.0776154148571,261.506945299502,STR
19,295.7443026597102,292.7379337004063,STR
20,310.5974117010101,306.97098811151517,STR
21,319.13668472436365,314.88946066866214,STR
22,325.3952958596248,319.8483035977143,STR
23,328.80902936929294,322.640145772091,STR
24,327.9589597000756,322.4792048027119,STR
25,,318.73566427936504,NOR
