Minisector,HUL,HAM,Fastest
0,276.22861153710284,276.3909032118518,HAM
1,293.7030996171274,297.48290575099566,HAM
2,288.5392237238598,296.5101415951515,HAM
3,174.75410005963528,178.9183501006077,HAM
4,116.6118580534224,119.4821136392674,HAM
5,235.74648820876786,238.72441206667114,HAM
6,279.35774156918166,282.330879221241,HAM
7,288.1180057004329,293.55997987719877,HAM
8,174.86848252486774,168.21677039281064,HUL
9,140.96418747475943,137.91509575244203,HUL
10,250.7143886309297,253.48084580707996,HAM
11,286.3390364687973,290.5543158285714,HAM
12,300.50507009587767,296.71486954327594,HUL
13,280.0695596643771,280.9779552522691,HAM
14,299.71836058320343,301.8394702580355,HAM
15,296.2941808979488,307.7617240265252,HAM
16,250.23495160439558,244.58420056444444,HUL
17,228.01488153625954,226.48690126868618,HUL
18,278.4716194115751,282.6998526030391,HAM
19,302.1070964723022,306.7601628647958,HAM
20,305.75288088694464,309.9992836455329,HAM
21,238.97529295563467,238.0315733927673,HUL
22,260.21539445106146,267.66935852017775,HAM
23,141.09626592426807,136.0664562305678,HUL
24,218.0700247496658,225.22550093821496,HAM
