Minisector,NOR,RUS,Fastest
0,306.23829833229274,311.2719200969697,RUS
1,206.20742174436768,201.77648632141526,NOR
2,149.95361592142856,147.3931691040426,NOR
3,228.73670103873013,228.20292337692348,NOR
4,165.69526693454364,164.07233259898763,NOR
5,185.70521947136416,176.33402995579291,NOR
6,258.1344825618713,251.85594229860712,NOR
7,280.8581896417175,280.01530919570064,NOR
8,289.56888896948146,287.5920824330829,NOR
9,263.66436874812484,262.06877268548755,NOR
10,246.70025911099856,243.43829946532634,NOR
11,242.27479155555557,241.5699721847619,NOR
12,205.0967576825893,202.05796888616646,NOR
13,126.54043716425413,129.72636427181902,RUS
14,134.1254209434833,140.56484861932972,RUS
15,172.4739974606349,173.99916912674448,RUS
16,248.32887256812367,251.1252670141302,RUS
17,248.40433931555557,237.9131778926682,NOR
18,111.91892436138681,114.65131979963786,RUS
19,204.12046484018208,201.62773823743694,NOR
20,206.89383420586665,201.72572896821464,NOR
21,242.23273232611785,239.5779987697778,NOR
22,269.375545423752,267.6297975792876,NOR
23,289.88973242857145,286.75822154661216,NOR
24,302.04555373511107,301.5163230593016,NOR
25,,306.0,RUS
