Minisector,PIA,LEC,Fastest
0,290.4676541915344,290.1003676574915,PIA
1,303.5136298389318,302.4666483911111,PIA
2,304.98699999999997,303.6380112984066,PIA
3,191.09633881345218,181.3098251070409,PIA
4,207.36876778740708,209.2321601140617,LEC
5,207.38472556088848,201.32449359632184,PIA
6,264.2928072931554,263.35913950125575,PIA
7,252.39560721450772,255.8281589383023,LEC
8,208.49987941094653,205.01636735449947,PIA
9,202.47302958917135,200.4650039223067,PIA
10,148.82783855994504,142.41061100954045,PIA
11,200.48484263274116,195.02199362026266,PIA
12,183.9202676935359,182.5492180349901,PIA
13,246.48518771486295,251.25731925919413,LEC
14,174.51216230219558,169.43732276781859,PIA
15,231.73921358535628,236.13232562547012,LEC
16,273.8650139215119,277.2136476081633,LEC
17,277.98063749123537,287.771840533921,LEC
18,269.93686074178635,274.470131688421,LEC
19,258.1321155231746,259.9888650941863,LEC
20,257.7389287107483,260.00297165287617,LEC
21,257.73142154064124,260.0357597194709,LEC
22,224.12866846824514,219.18873398278197,PIA
23,200.05886635706227,194.25491589838109,PIA
24,267.88048306684806,268.3525031233189,LEC
