Minisector,VER,OCO,Fastest
0,280.9655962030602,280.333519874188,VER
1,296.5437572635268,300.189181095524,OCO
2,297.8885415238095,296.50912177342406,VER
3,187.9826541287204,171.8142892524108,VER
4,220.3511936767231,210.23466100634923,VER
5,205.65343603384704,197.83975069421558,VER
6,183.07429498404073,170.81243078629637,VER
7,208.92777813525998,194.57314603413633,VER
8,257.28673468272785,248.8940306727202,VER
9,269.59321872231885,254.6409636319492,VER
10,172.41479623682739,160.83781017932466,VER
11,238.3948084028147,230.69036046134815,VER
12,118.71195619445432,110.50848813286048,VER
13,220.08847062154004,219.64480294830759,VER
14,275.40922013724315,274.74800454595226,VER
15,288.91927405714284,289.42942632242426,OCO
16,220.20390202954258,203.2814035546529,VER
17,182.1513629707196,177.37216024489152,VER
18,263.75276723741257,264.48510114824126,OCO
19,290.7366480608192,291.0978458184748,OCO
20,302.3314066922124,304.0603029430303,OCO
21,302.079621767565,305.13583859790634,OCO
22,273.5047477920099,256.95475498148676,VER
23,117.78703005736239,113.73841777326822,VER
24,238.81224657493652,236.37229948432494,VER
