Minisector,BOT,HUL,Fastest
0,278.1141767508633,279.298248012403,HUL
1,293.43937493333334,294.97125008,HUL
2,247.6866867204708,236.66040678603534,BOT
3,115.97829126872082,115.68537570420169,BOT
4,128.07219217939885,136.44071250852713,HUL
5,248.41540280071038,249.62218874418238,HUL
6,250.04236088888888,257.49478924444446,HUL
7,122.97067829613806,122.70510271842988,BOT
8,248.54288204444444,243.8496534666667,BOT
9,263.5655176005106,261.0601952418199,BOT
10,208.62912524926108,210.459556958036,HUL
11,140.4225961065673,143.91516426183873,HUL
12,205.79258635750887,206.99562848472908,HUL
13,260.95543789437227,264.5781925333333,HUL
14,121.6551561169903,118.95971008260938,BOT
15,195.64373226899718,190.10374837805642,BOT
16,260.69810637575756,256.28455136046176,BOT
17,293.25547784098785,287.09270847238093,BOT
18,306.970888134872,299.68354175999997,BOT
19,312.9578947368421,303.54189819259256,BOT
20,315.11535090526314,306.9585312318498,BOT
21,169.48982767058826,179.61015272727272,HUL
22,139.06765364346305,137.17972245495443,BOT
23,205.81456431255253,207.09764956124837,HUL
24,236.16400017066667,233.13264048888888,BOT
25,264.7499968,265.9138663642412,HUL
