Minisector,BOT,ALB,Fastest
0,287.46125376394696,297.6810478109091,ALB
1,297.34106397645763,309.79537250424244,ALB
2,274.67417466758457,287.9587690813513,ALB
3,109.3312127466891,106.944246022651,BOT
4,220.07746828926633,223.3027955898535,ALB
5,264.12637051289386,273.0124788772185,ALB
6,209.89528626358052,198.34369240883265,BOT
7,159.8508062634077,159.6101655221164,BOT
8,201.3291858802721,192.5294343517123,BOT
9,210.43305526399854,204.11171567492065,BOT
10,118.69352831793898,110.87226301835011,BOT
11,221.69648758419228,223.36180978889806,ALB
12,114.35429788972317,110.05899265496103,BOT
13,221.0832537713076,232.13156408297027,ALB
14,268.5785121339739,277.38969888272896,ALB
15,206.98954962509774,205.2164581099444,BOT
16,184.97675217380953,189.96199282684697,ALB
17,245.21190937492983,242.12899264840672,BOT
18,197.26322358405395,185.87928499248162,BOT
19,184.41342120256368,190.11377664616396,ALB
20,259.20124743173153,269.44488110730157,ALB
21,282.75862510285714,294.8514911158277,ALB
22,163.4009990768211,148.92039334500055,BOT
23,208.6815694914633,215.86220972672024,ALB
24,269.7015248767083,276.48000579961905,ALB
