Minisector,HAM,LEC,Fastest
0,305.1404513333333,308.0475050287035,LEC
1,289.7810588756849,290.5237316637681,LEC
2,181.50345331317496,168.06193247342173,HAM
3,205.21052862641505,197.97392825904763,HAM
4,228.63890562723893,219.9937825222742,HAM
5,268.7897953599224,267.92333354666664,HAM
6,238.0113113904762,232.95347208533335,HAM
7,213.04583195235213,203.85050524444446,HAM
8,169.0070472800993,167.59047624325203,HAM
9,178.9063566596491,171.01636276363186,HAM
10,184.2151117259941,175.032537613119,HAM
11,209.7007844327246,200.5772632401368,HAM
12,241.50171096155046,242.9817430063524,LEC
13,172.35000761442308,166.21331882285716,HAM
14,249.76155035202822,244.18881231046254,HAM
15,277.17972740491524,278.2002142963809,LEC
16,264.26916740266665,276.73685173710214,LEC
17,250.15043418773433,268.9273333333333,LEC
18,244.13120938703906,254.08799759436545,LEC
19,244.08898883809525,247.2950445403279,LEC
20,258.6742525835326,210.76954858487395,HAM
21,189.21512852932224,168.43458601366575,HAM
22,224.73287535167955,240.25942736242663,LEC
23,279.08251414603177,282.8255435594203,LEC
24,297.8940396572221,299.83928585820104,LEC
25,303.25416640000003,,HAM
