Minisector,ALO,SAI,Fastest
0,272.75116154434784,274.4631002892379,SAI
1,238.3336470420052,248.13347011844155,SAI
2,125.31371942984447,119.4471935371956,ALO
3,162.26512110752745,174.3447470919882,SAI
4,197.697578270309,190.08453641566138,ALO
5,195.51758939809523,202.66384038238078,SAI
6,263.4139812207792,266.9286110577778,SAI
7,283.7954510008318,288.3250676941302,SAI
8,224.18205504296296,231.51100242705314,SAI
9,147.09605964344274,145.16649691758312,ALO
10,119.72061180758348,124.2000014336123,SAI
11,165.26408088323134,164.4328316402837,ALO
12,245.34108852567783,249.82677826714843,SAI
13,152.11570388385587,158.00662359156695,SAI
14,146.8791778394167,146.68559242549156,ALO
15,100.17471293916296,108.44363229731158,SAI
16,228.58428637391975,224.17552028024843,ALO
17,238.01146974962964,240.8213138095238,SAI
18,127.43418054216596,129.23594651668188,SAI
19,238.87159644728675,244.08599801131814,SAI
20,274.0273261801673,274.90132874070196,SAI
21,199.30885401707272,204.92351271581424,SAI
22,146.16474046285427,162.52210393390885,SAI
23,220.71942222999178,223.01373555093792,SAI
24,232.91224060720498,234.02729473072665,SAI
