Minisector,ANT,ALB,Fastest
0,305.5904745354184,320.59366806522365,ALB
1,241.12829160655707,223.30286652231294,ANT
2,131.70189219758845,127.256586197595,ANT
3,238.6306846413152,218.06580576948147,ANT
4,195.74140947298542,183.30355045601726,ANT
5,247.84841368611924,237.3673564123075,ANT
6,227.49130032500446,218.83908304873268,ANT
7,257.4425738336718,258.05018956576646,ALB
8,292.3795601611977,294.4815627168254,ALB
9,209.74958164708664,181.94444938418243,ANT
10,202.76515224675882,209.3031394533204,ALB
11,271.7677532568116,277.2481228036637,ALB
12,212.25305158677924,203.053586805963,ANT
13,249.44690186657866,257.3629745523529,ALB
14,292.56572116259434,297.0724617066667,ALB
15,308.5303319426709,314.2437173264733,ALB
16,307.00317738666666,308.6615351030303,ALB
17,206.24346433206972,200.29445784610203,ANT
18,264.95392440721974,265.45522205713434,ALB
19,296.40943802265605,304.29739362159717,ALB
20,311.4429232555783,325.3034494275325,ALB
21,311.5597669422526,329.10185380533335,ALB
22,149.74267682733935,142.5992847657631,ANT
23,237.108034993288,239.85831273773346,ALB
24,286.4183060153286,297.57080776136695,ALB
