Minisector,SAI,OCO,Fastest
0,304.81765782588235,297.33151248592594,SAI
1,252.05483067029476,253.89696381335978,OCO
2,126.33874823819919,127.31672199884139,OCO
3,239.22700824130965,235.3479008246962,SAI
4,187.7102633707719,193.14510662831725,OCO
5,248.54746901351473,244.4719158365683,SAI
6,231.2153717757647,228.50737594236512,SAI
7,254.08393377645712,251.7809026629211,SAI
8,289.88341328761766,283.04982217071205,SAI
9,207.75549681962482,214.13149824669182,OCO
10,198.68408864420346,197.67264974245117,SAI
11,270.7999320480149,268.40491204534754,SAI
12,209.51958495142858,215.4648409267084,OCO
13,246.80769101418002,246.08003135883402,SAI
14,288.67997888487616,287.1830267115323,SAI
15,305.48579844697264,301.5264337811289,SAI
16,306.28371195151516,298.52530940948185,SAI
17,205.85423580372196,213.3523093122344,OCO
18,259.92816744671205,259.41503268044573,SAI
19,293.40875616253544,293.0941496247619,SAI
20,307.6660323090909,305.6804439466667,SAI
21,309.6445912604003,310.86148438857145,OCO
22,149.98124104055512,152.293623039601,OCO
23,228.8701161611296,230.68454583119302,OCO
24,286.6228032163634,282.8412759346189,SAI
25,299.0,,SAI
