Minisector,LEC,PER,Fastest
0,268.9070454868853,269.34379598814814,PER
1,289.16774414337664,288.3089663851583,LEC
2,296.3364753964912,291.03768579950616,LEC
3,125.85258229179027,126.91193873026306,PER
4,190.71231797974608,201.47873875482992,PER
5,248.21810988752955,254.14621806577614,PER
6,131.10397446765307,138.30586547198627,PER
7,197.86233197806635,206.15322790851937,PER
8,255.44780830465947,259.8616650173243,PER
9,279.788221280393,279.9373109593277,PER
10,232.12274891123812,224.66975143525488,LEC
11,170.74845766908362,179.28021866502212,PER
12,184.8329559866103,189.9633069202101,PER
13,146.38435623284934,133.1781501093082,LEC
14,172.01696086317875,176.59159575228398,PER
15,156.12891467297297,163.3501971859818,PER
16,215.80821684619607,219.1511808719617,PER
17,236.096440485005,233.36184436148147,LEC
18,236.78012234276508,239.62845984907827,PER
19,237.4691344352639,226.50133946988498,LEC
20,146.1138436345437,146.93075662283314,PER
21,127.94576517503532,138.42669142122122,PER
22,165.07540225908068,170.4900657171757,PER
23,148.26919244224314,150.04574721984554,PER
24,228.50472819120182,230.76276079526087,PER
