Minisector,RUS,LEC,Fastest
0,261.70832856960993,265.1446063542857,LEC
1,131.08367941047618,135.792294853815,LEC
2,200.39882227984037,196.8109128392425,RUS
3,244.17708377142858,244.07344080544217,RUS
4,253.93414053688886,260.81206537718515,LEC
5,171.60162571033752,175.82918255427379,LEC
6,141.76872440575892,144.71844424970158,LEC
7,178.5628149461472,182.7106919166935,LEC
8,96.00068115725871,102.52935221192881,LEC
9,71.40730672388803,71.58435932968591,LEC
10,94.896879849764,93.42321362101009,RUS
11,183.04990998949495,178.53068776281575,RUS
12,245.87888432006338,243.53101866384878,RUS
13,271.0242554130379,268.50464282340135,RUS
14,272.3638201422222,282.2094546953846,LEC
15,106.33688521906787,116.17834086025714,LEC
16,146.3212874011993,133.1560248363285,RUS
17,180.73385274850543,189.27708607647727,LEC
18,198.53380561624877,193.76084098909092,RUS
19,207.67290849044295,221.14595320353246,LEC
20,135.82455320170084,135.4678064498552,RUS
21,98.08497237189096,120.83926381372395,LEC
22,99.22131776046324,93.65108062841641,RUS
23,196.81963361918156,194.77644524158669,RUS
24,249.10706304313723,245.8622508938528,RUS
25,,261.8340904727272,LEC
