Minisector,HAM,BEA,Fastest
0,312.2283452111271,306.0808475343915,HAM
1,217.20994620069266,193.15481798389226,HAM
2,217.8733288509807,212.69766838213758,HAM
3,271.5708245222071,265.11178478294784,HAM
4,249.71775629205433,223.27332849993266,HAM
5,122.15322697755481,125.9043252984258,BEA
6,192.6666569281385,205.91241708701537,BEA
7,244.95706211208488,244.55295749047397,HAM
8,233.45165067542857,236.5698893291005,BEA
9,237.1896915817045,228.85567429300207,HAM
10,287.7554374285022,284.724783994118,HAM
11,309.87578018526983,310.2334161893333,BEA
12,321.90751305869225,323.7988540773333,BEA
13,319.1726887958095,322.0412034650604,BEA
14,306.61118407314285,312.24349786038164,BEA
15,250.4609167585547,244.57745993915344,HAM
16,239.89093746742856,229.64615314125874,HAM
17,276.44305594074075,272.0266748943377,HAM
18,289.1883292725019,280.31828933241906,HAM
19,151.24198799653018,154.7381429742278,BEA
20,195.36775354759726,191.91332382848074,HAM
21,177.09512128227067,174.04137854420426,HAM
22,134.63641753586165,123.4636229958816,HAM
23,230.23696496604487,235.5795658903424,BEA
24,291.0896583569675,290.60639474607495,HAM
25,305.1000009142857,,HAM
