Minisector,NOR,VER,Fastest
0,258.3053530646326,259.39958836205545,VER
1,136.0474296639624,134.52099896189628,NOR
2,204.09455678476192,200.19395588871575,NOR
3,248.4854376495006,246.02512751496997,NOR
4,256.477498688,259.736317767033,VER
5,171.59914057439465,190.00827792280703,VER
6,144.40017157686643,154.49279685741212,VER
7,183.86546994370735,186.11230755041322,VER
8,95.19740731678623,103.92307162583938,VER
9,72.47335796645365,74.64801060686439,VER
10,95.39128007575927,98.01278466878898,VER
11,188.38303382505495,183.93744093000754,NOR
12,245.57054814050358,241.99061273413756,NOR
13,269.24985028808203,256.9386894580006,NOR
14,277.1267835885714,267.6604163733333,NOR
15,104.53655867141953,116.06112755810288,VER
16,151.87336089242524,144.40168874624504,NOR
17,185.02419786078718,190.00484198069842,VER
18,202.36188428507458,205.6645851999448,VER
19,219.11870306962962,212.99745312338624,NOR
20,142.6999341374506,136.56637345605444,NOR
21,118.50495122770171,114.15993996927804,NOR
22,98.08092277298603,98.69491950070545,VER
23,200.25391722218487,200.562920255014,VER
24,254.69481741679814,250.16352301048067,NOR
