Minisector,NOR,OCO,Fastest
0,298.50590027203475,304.2915366777778,OCO
1,206.4051817333333,212.10291477911503,OCO
2,138.13649755836224,135.7200011888285,NOR
3,215.93985595370242,216.58252248443682,OCO
4,154.45534623837366,152.95656217658046,NOR
5,179.1986340996633,167.98179017111718,NOR
6,252.76603231923227,248.22182603174602,NOR
7,277.36434116929877,276.547601403405,NOR
8,284.43359269925924,283.19432759663863,NOR
9,257.3683346719564,265.5215087172789,OCO
10,241.04755475575632,244.13775458580395,OCO
11,238.0926336023585,240.7921613710438,OCO
12,202.23285662823363,214.48475373396303,OCO
13,133.17249286486486,134.1800048955989,OCO
14,137.9442084297933,142.18304250214157,OCO
15,185.30979679800254,168.79816031380432,NOR
16,259.8034541827819,246.87205899227985,NOR
17,235.2261056956862,243.90467987554433,OCO
18,109.92969607936507,113.85878051636364,OCO
19,200.55304872597134,185.16474764105732,NOR
20,190.52978155642387,196.21540155612584,OCO
21,229.3936872338614,227.97229867945808,NOR
22,268.6708748963988,263.4409209022092,NOR
23,292.07310582753246,282.39010378,NOR
24,312.4882799015202,295.02474800223945,NOR
25,318.60833279999997,300.0,NOR
