Minisector,SAI,PER,Fastest
0,296.4162728967282,298.4795303957672,PER
1,225.25541896892562,218.18214749308407,SAI
2,231.49722370087113,227.50144571213676,SAI
3,276.64947153939397,275.3559981000448,SAI
4,251.6913992961401,238.18272908307694,SAI
5,128.65326448060287,126.52202467885132,SAI
6,214.4716939868783,212.53987859188712,SAI
7,265.4507171157098,265.6436922796191,PER
8,250.98028906079847,256.59173814214876,PER
9,244.09050787214068,245.35851001109629,PER
10,279.56462858327694,280.03738544,PER
11,294.62217380136053,298.1117259312472,PER
12,301.617169824355,306.9346976186667,PER
13,305.6434125172487,310.5860588190476,PER
14,304.6947316519529,307.1026794893513,PER
15,257.9816441139231,269.98649998025974,PER
16,247.08574627885386,246.46731538655217,SAI
17,280.78596909189645,281.84413918383837,PER
18,292.6829165155556,289.3900719804137,SAI
19,165.3111291536853,154.9263870183566,SAI
20,212.776448708673,208.6513834844463,SAI
21,182.96245796669012,178.19330406836485,SAI
22,142.99189226324395,146.62253442029063,PER
23,243.27237547329193,242.41606115586063,SAI
24,283.9871151912156,286.47567064217026,PER
