Minisector,SAI,BOT,Fastest
0,229.1635366421578,234.26848281742565,BOT
1,275.9630004906667,289.1830582961294,BOT
2,288.81529487893386,313.36992732753623,BOT
3,293.9431819082251,323.14715985721557,BOT
4,264.9101764766338,281.20002514102094,BOT
5,162.06999251215282,162.44421583288056,BOT
6,255.15611252483401,257.68125481811416,BOT
7,270.13121690299823,273.66266026666665,BOT
8,212.4943962532213,208.16080206001357,SAI
9,215.30381957174117,217.19205782816036,BOT
10,179.0255325811966,181.04292995861186,BOT
11,220.8711698933155,223.87564527251806,BOT
12,203.68315075409515,197.946905949902,SAI
13,216.74639062235835,204.0212547604009,SAI
14,222.6770623641207,217.59534520159897,SAI
15,174.74262648888887,179.26717992693213,BOT
16,240.78435893578413,247.10918852839043,BOT
17,276.5955480015238,284.7095903713831,BOT
18,287.52883031718426,294.0848333775238,BOT
19,281.21047476419045,270.81169325152035,SAI
20,129.97738987645675,126.6649428434125,SAI
21,162.90177650817841,152.4451882786731,SAI
22,151.54559111885726,161.21638178008658,BOT
23,201.6265467019567,196.3275698535289,SAI
24,145.82099657797957,149.22237336690654,BOT
25,180.46666666666667,,SAI
