Minisector,VER,TSU,Fastest
0,280.7126043615638,284.85340136054424,TSU
1,291.61678321678323,293.42994628593306,TSU
2,295.77252367575755,299.1359524190476,TSU
3,292.2677972050125,294.93335600907034,TSU
4,163.71980491190502,158.21118520666698,VER
5,199.46453687739103,195.86415692342857,VER
6,220.0264831663192,213.14642841074925,VER
7,258.3151546554071,255.52015873015873,VER
8,243.69983588647955,236.98459555095127,VER
9,154.02419859000474,149.0783853118989,VER
10,217.73046449211694,216.2236095662162,VER
11,128.06225870946147,124.76670873929538,VER
12,228.43309584018144,223.74341238471675,VER
13,170.38565360511234,171.53850171738122,TSU
14,206.08154480601516,213.4866516092603,TSU
15,224.99169437814936,217.69593564606063,VER
16,254.79309614351826,246.00513708513708,VER
17,280.765125772549,279.8338840571429,VER
18,140.56592095784535,147.3236106532932,TSU
19,161.22212289646868,161.7192386335964,TSU
20,139.98255576389414,130.6280765934837,VER
21,149.05532816063905,145.29283560016393,VER
22,108.55030472421406,105.45760659699087,VER
23,216.06336578636436,207.5264557445414,VER
24,262.6701913615111,260.9525324675324,VER
25,274.7053952222577,278.01666666666665,TSU
