Minisector,BOT,ALO,Fastest
0,278.4121412873231,273.1720196176532,BOT
1,235.97790806313083,233.65776018919178,BOT
2,114.56065697507402,119.85505748460132,ALO
3,193.78989404165344,190.7453597838497,BOT
4,176.0384148615212,186.1536830070753,ALO
5,217.64054244174477,212.4146743342834,BOT
6,277.20556493058587,270.00826464376644,BOT
7,295.6850956546151,286.5341907497055,BOT
8,184.65186306740569,191.9070587481901,ALO
9,133.69659696489134,137.49802030789596,ALO
10,132.43802928799255,135.81200055229812,ALO
11,190.4663399423852,188.63140687952728,BOT
12,222.43067645117677,232.0152379230768,ALO
13,133.54021159105525,138.4363656247907,ALO
14,156.21380747166646,168.06200920357915,ALO
15,123.53453114153247,121.20304305931596,BOT
16,254.40097374241677,249.62609636936975,BOT
17,147.74928440461937,153.5240799300613,ALO
18,196.43160620761833,192.72016209764203,BOT
19,137.00968545033697,143.26631221461298,ALO
20,150.1911872542947,154.1875351195247,ALO
21,127.10203724850675,127.72645897484138,ALO
22,146.2750168848022,142.73583418110226,BOT
23,223.03220509685636,223.34632912677057,ALO
24,228.38319067197565,235.41816870327838,ALO
25,262.9500010666667,261.1833322666667,BOT
