Minisector,SAI,OCO,Fastest
0,290.6941358649639,292.8197994880576,OCO
1,301.85746073656867,304.0668686847619,OCO
2,307.16278256435953,309.8550068614617,OCO
3,303.6289411030913,301.6589416121009,SAI
4,166.47145259367295,160.84357813348726,SAI
5,202.22805782568508,197.64776819129392,SAI
6,229.92610987123808,233.54260680709203,OCO
7,261.6085296409269,265.7172895154765,OCO
8,252.08842870857143,253.15884588188064,OCO
9,159.10365081094983,158.94859532451957,SAI
10,222.4741809044888,219.47282747567098,SAI
11,125.34803875649072,122.84650028765229,SAI
12,225.90557089415358,224.38308138572896,SAI
13,178.2954629377064,173.00785600274466,SAI
14,210.83847006432023,209.91485598273016,SAI
15,235.81121355301585,238.66015375891132,OCO
16,257.8872881559906,262.57291614984126,OCO
17,285.0229916377554,283.43188574877195,SAI
18,149.38884318652498,149.44196978814813,OCO
19,163.76787539033833,160.9535536751437,SAI
20,137.33847565133487,134.55322516406954,SAI
21,224.3689154806653,227.8008643200154,OCO
22,258.0015396162097,263.80629391056203,OCO
23,246.2586290591085,246.92661285799676,OCO
24,274.7749321507858,275.0078929896296,OCO
