Minisector,RUS,ALO,Fastest
0,267.00072539577246,267.7635700276408,ALO
1,285.80543923714924,288.77966305092656,ALO
2,288.6288145352765,295.55777320006393,ALO
3,121.16681496713424,123.39923536369521,ALO
4,192.70461909336112,191.04301037271264,RUS
5,243.58764817407192,250.51571860970762,ALO
6,137.91373812124388,134.56933951952115,RUS
7,206.24893879452793,196.46911769638373,RUS
8,255.22136670155388,251.99423610300025,RUS
9,273.46800945945995,279.03380271824267,ALO
10,223.83014373763976,231.88037777577628,ALO
11,177.93295437790977,178.9095300920251,ALO
12,192.1085801713207,184.1598978891005,RUS
13,145.3839642211627,142.3583919683552,RUS
14,174.24826966544566,172.0828116775717,RUS
15,159.46843183637745,158.6108328684895,RUS
16,212.71464291878942,216.95939724380452,ALO
17,221.51907353752262,230.7491617070132,ALO
18,231.1597441902854,237.81220273611893,ALO
19,241.15617867198515,228.49420504216855,RUS
20,149.79540303370317,141.55080137543843,RUS
21,130.82985364619537,132.93901843733943,ALO
22,170.37433810305427,167.2629029321217,RUS
23,150.5312977197722,149.09218016294759,RUS
24,228.21752811606063,225.5536446559023,RUS
