Minisector,HAM,KVY,Fastest
0,291.9083333818182,305.8333333333333,KVY
1,292.90905794782606,307.5000823236733,KVY
2,267.4339973973333,242.35333333333332,HAM
3,161.92291939206302,152.6870950635133,HAM
4,180.89919215140708,164.58303829855777,HAM
5,216.8813874350516,217.79444444444442,KVY
6,245.9981954551547,228.28096603740255,HAM
7,219.72554497393807,210.17036124794745,HAM
8,268.9870493626389,258.72141512251494,HAM
9,266.4811366854543,252.31423611111111,HAM
10,275.6572549714286,265.9270833333333,HAM
11,276.950901897898,268.4935188966985,HAM
12,273.1481189241905,267.04513888888886,HAM
13,273.95145020289857,263.8468396238372,HAM
14,190.47799165513368,176.68367346938777,HAM
15,236.11260868727933,234.9230229877551,HAM
16,218.35712337987314,200.12834821428572,HAM
17,172.23545729400155,171.70800990872675,HAM
18,255.68919845925925,258.0823550830753,KVY
19,283.6646035911306,287.12608700289854,KVY
20,264.86583055589347,239.28047619047618,HAM
21,193.23299132281267,182.4366405221176,HAM
22,252.742699643081,256.29513888888886,KVY
23,277.9505066414871,285.6333758409703,KVY
24,289.16371524444446,297.74867423030304,KVY
