Minisector,RUS,LAW,Fastest
0,269.3410740093871,269.11819042432745,RUS
1,284.88514695314285,287.35280225269844,LAW
2,283.33203643789034,292.50398207910365,LAW
3,127.10073108098764,131.32097823553633,LAW
4,197.9188673344298,195.9530532929953,RUS
5,254.76440704830338,252.84027508436975,RUS
6,147.57867411214437,140.70294391046212,RUS
7,213.18614015717463,207.17137489465443,RUS
8,258.745935152422,258.04921179765586,RUS
9,279.05015273600003,279.9237023885714,LAW
10,245.87460421869486,239.9116735380269,RUS
11,187.2373473266506,180.14398201311616,RUS
12,199.90607881273414,194.8089876938528,RUS
13,145.56553969546897,138.0331825561278,RUS
14,179.49374815543385,174.71501459377316,RUS
15,167.22328997555556,166.07291516190477,RUS
16,220.63598154295886,223.5118514280635,LAW
17,239.24206813674186,232.83700484726253,RUS
18,245.6545987491996,243.99936167234247,RUS
19,236.24344257616164,242.55068984533332,LAW
20,149.2051734924843,144.42274667973444,RUS
21,136.96208900466854,127.90440743345043,RUS
22,167.74693317333333,172.1862928085901,LAW
23,160.3357543872511,155.89269476666666,RUS
24,235.01628260266665,232.06510762810157,RUS
25,258.5833333333333,,RUS
