Minisector,VER,BEA,Fastest
0,288.68017515391284,285.80208282190875,VER
1,305.94184450569105,302.7630786074074,VER
2,309.8872785603628,299.68981749617404,VER
3,198.8235196555884,196.88408470767507,VER
4,235.23910436658687,232.93709493216116,VER
5,226.421482400057,222.64042967836735,VER
6,209.84272314712481,212.69444267354837,BEA
7,237.32293833120625,230.5924222625185,VER
8,272.260378195671,265.04634050556473,VER
9,275.78073869765086,263.6979686305419,VER
10,174.1701330376568,174.8647747739511,BEA
11,240.72052317836224,238.60027701859113,VER
12,117.48098553754957,119.3205647657907,BEA
13,226.48933943159267,225.13188313962692,VER
14,278.9621494350914,277.38613226099557,VER
15,293.0825899873621,285.88418350994283,VER
16,222.5789007210604,212.1861753461152,VER
17,186.7039610511123,192.3623168358806,BEA
18,268.41209670342414,269.72861216243814,BEA
19,293.7964999953168,291.38585735945577,VER
20,305.2087712879184,301.3384179720977,VER
21,306.4350172844444,301.5698465585645,VER
22,267.8352994813473,263.1238132605817,VER
23,116.76530054434669,123.00209785758199,BEA
24,243.45726233913996,246.56256976808083,BEA
