Minisector,HAM,VER,Fastest
0,252.09361830275554,261.76529527429415,VER
1,281.57458325333334,297.4343560182724,VER
2,171.96249462275216,153.5394631449529,HAM
3,169.97526149380494,167.47958236952383,HAM
4,261.19617634707777,261.8271035042618,VER
5,264.3632597017811,269.74957413333334,VER
6,219.8441744005983,226.62263233261027,VER
7,206.43102483885212,205.10506966174057,HAM
8,158.15607825162905,159.73923642750384,VER
9,220.04887876923078,234.97370346153096,VER
10,273.8818181818182,275.729545939394,VER
11,127.53026165830957,120.3443928069892,HAM
12,218.9455284167383,226.6174212161172,VER
13,272.73636363636365,276.1248628317979,VER
14,290.13520837333334,293.57354144,VER
15,294.975,295.6791666666667,VER
16,219.78192239858907,195.20499498371737,HAM
17,135.21884454545454,136.06736706653476,VER
18,140.15027046786443,143.36427010530716,VER
19,124.97925481499495,125.30955635560393,VER
20,222.26210542292662,231.87216622933335,VER
21,245.36904730209525,257.2229683137429,VER
22,235.36763457634888,233.31943368974643,HAM
23,211.74209820689654,208.1110503142857,HAM
24,147.4552390404584,149.829276322807,VER
