Minisector,SAI,GIO,Fastest
0,260.90882352941173,263.4879569837535,GIO
1,135.0827144802577,131.95245142959624,SAI
2,195.25463530199323,195.92708106666666,GIO
3,243.91484593837535,246.06405687961717,GIO
4,259.9450385134029,261.3450532666667,GIO
5,184.6173218024652,180.27174066086954,SAI
6,152.57786600070546,141.77528555069603,SAI
7,185.42283182129142,180.35181141863356,SAI
8,103.66576454971947,101.86109977811014,SAI
9,79.1596799921428,77.77267516427462,SAI
10,93.62398021485409,94.00310030387597,GIO
11,179.75371397813785,178.16462817091823,SAI
12,245.2406191283469,246.6794106352941,GIO
13,267.5584126984127,269.3561103644444,GIO
14,280.10087876158485,279.8853364858816,SAI
15,121.25864428464294,121.71976469333333,GIO
16,142.58571820241698,136.2818606830108,SAI
17,194.93076280762193,194.764485384127,SAI
18,198.22511904761905,191.98174466031747,SAI
19,220.00119248117622,217.27748277568242,SAI
20,131.83569177946262,134.93629078709677,GIO
21,117.55610667740883,120.38204700262389,GIO
22,93.30744299810338,91.18835919270728,SAI
23,195.80000096507933,194.9287478933333,SAI
24,246.7794159922542,247.86926953333332,GIO
25,,263.7499968,GIO
