Minisector,HAM,OCO,Fastest
0,291.13088402341856,293.5753071803687,OCO
1,301.0930643279503,302.6990531393939,OCO
2,275.3403730804799,283.4038168444444,OCO
3,116.39511041312467,116.7213987385477,OCO
4,228.1167091115613,216.93036814750923,HAM
5,272.09077165936293,276.0504880141283,OCO
6,219.39770962380953,212.8577908175816,HAM
7,175.17917701278245,167.00867428738076,HAM
8,209.23914104242425,212.97029505376344,OCO
9,217.9268068580979,216.20016965948128,HAM
10,120.24437897207484,117.44712207096212,HAM
11,229.80277735111113,231.31908928735632,OCO
12,121.90216956276115,120.10611220991322,HAM
13,229.66353073529797,226.91083122922902,HAM
14,274.125166976,274.59620575873015,OCO
15,218.2051564263677,218.7269226150163,OCO
16,210.9211508,194.21869193142857,HAM
17,253.81244881783243,255.51086991462924,OCO
18,207.08610922020202,198.15047408761905,HAM
19,199.2680731706898,190.82134655238096,HAM
20,267.49573883733336,267.0579559575353,HAM
21,287.1385868985507,289.6458772007387,OCO
22,172.98317359942627,169.97539686367818,HAM
23,222.18158006121834,217.36851084360995,HAM
24,274.7913414843197,273.90691454980004,HAM
25,285.72636810217574,,HAM
