Minisector,LEC,GAS,Fastest
0,117.09436384594466,144.90341131030092,GAS
1,146.60018370460494,137.01363918315053,LEC
2,166.17480401269842,165.16206842689158,LEC
3,106.0529579,108.86650202166255,GAS
4,144.34096543914265,147.40557902857142,GAS
5,195.3457164393851,189.14686169848812,LEC
6,153.95975569909567,157.14653121213914,GAS
7,140.83906153333334,139.30582866644468,LEC
8,143.8127265485781,141.38263660579975,LEC
9,144.18509663218737,145.56206665175984,GAS
10,182.5625706015319,150.01752308047705,LEC
11,152.4552532306218,157.0460974870283,GAS
12,148.3749981217391,144.01166413196543,LEC
13,184.42648965498842,170.00490401767993,LEC
14,201.70889700947086,186.62009549803923,LEC
15,155.6184806995671,167.85008201999972,GAS
16,118.64945369011305,118.62368391556267,LEC
17,94.4375598737661,93.0594543141128,LEC
18,112.47154094812304,111.31477866016125,LEC
19,121.63846462528736,118.59496984156559,LEC
20,141.21260877523284,135.67016554666668,LEC
21,197.59208488515404,182.61621792870633,LEC
22,153.81595135934433,126.85353030223902,LEC
23,172.73148311289793,151.9431139246377,LEC
24,220.271092,182.07410674285714,LEC
