Minisector,PIA,BOT,Fastest
0,290.4676541915344,287.5964740166739,PIA
1,303.5136298389318,296.98196944484846,PIA
2,304.98699999999997,293.3508600270988,PIA
3,191.09633881345218,178.64335149347446,PIA
4,207.36876778740708,204.31072307588792,PIA
5,207.38472556088848,207.72104783272388,BOT
6,264.2928072931554,261.9166556457729,PIA
7,252.39560721450772,248.6153075619104,PIA
8,208.49987941094653,200.4942824075982,PIA
9,202.47302958917135,211.53297257094985,BOT
10,148.82783855994504,136.15648769851458,PIA
11,200.48484263274116,206.85891275065413,BOT
12,183.9202676935359,177.9759633464447,PIA
13,246.48518771486295,243.5030268530562,PIA
14,174.51216230219558,176.0026217141024,BOT
15,231.73921358535628,229.76707355034463,PIA
16,273.8650139215119,273.4465061431915,PIA
17,277.98063749123537,273.9649051721143,PIA
18,269.93686074178635,251.30460768866132,PIA
19,258.1321155231746,242.15163799533127,PIA
20,257.7389287107483,247.0923669034921,PIA
21,257.73142154064124,252.50665234112373,PIA
22,224.12866846824514,231.02709673082254,BOT
23,200.05886635706227,193.59290706821687,PIA
24,267.88048306684806,263.560935994643,PIA
25,,279.11999936,BOT
