Minisector,LEC,BOT,Fastest
0,282.89616201145134,279.44184466285714,LEC
1,225.0196896121905,223.35998503366883,LEC
2,112.96005787010789,118.41569999195087,BOT
3,203.4426747604396,201.92637973919412,LEC
4,175.22314881173043,177.08501293697682,BOT
5,226.6729352626087,223.98586801587302,LEC
6,280.91931316494805,279.0992778580433,LEC
7,296.3399141502645,297.2196758518519,BOT
8,170.58416674370372,176.59178800950912,BOT
9,124.69237088349608,127.87028314934572,BOT
10,135.82114998663783,140.7803254576441,BOT
11,197.80151183004097,204.0152112057072,BOT
12,213.2996434140007,207.71450635061726,LEC
13,130.56868998706926,137.49741988187037,BOT
14,146.69977601635665,139.62909952111318,LEC
15,128.803929305831,139.87674524813738,BOT
16,256.17859352,259.5763318020684,BOT
17,143.28660864860728,136.65260385276002,LEC
18,210.38191391648354,207.05618575346358,LEC
19,133.87238571154634,133.1100114865726,LEC
20,148.87303717065637,142.48743089090456,LEC
21,126.75294579820229,128.32507566496363,BOT
22,155.90821524424783,158.3332374560638,BOT
23,224.7355825756347,227.77483323733333,BOT
24,242.33055547936505,246.0572550141742,BOT
25,268.7875008,,LEC
