Minisector,BOT,ALB,Fastest
0,288.13192754157564,289.82765551908034,ALB
1,304.07687498666667,306.8122034673737,ALB
2,299.73269465874426,299.13249952,BOT
3,191.88316115669244,187.06028541283678,BOT
4,229.63937714871795,224.39386883460568,BOT
5,214.97499328779276,212.71069788507822,BOT
6,199.2441629984639,197.66278154739302,BOT
7,224.23439076751444,221.2442348636457,BOT
8,257.8135166984127,257.3713546222222,BOT
9,261.7654235986127,260.7472467238095,BOT
10,183.11416100707632,177.98391259301496,BOT
11,244.89167801555072,239.77897455186047,BOT
12,123.11551981601697,122.46617098936592,BOT
13,230.83262873191913,228.98095775853506,BOT
14,271.0852182663038,272.3083664188562,ALB
15,278.9130435060869,277.3479166683983,BOT
16,216.15018019074668,214.7529472948911,BOT
17,200.37307044632618,194.8230036413952,BOT
18,273.4976095688989,269.9595733589518,BOT
19,294.8672889004329,293.0445863256236,BOT
20,304.69949403428575,304.4527424203535,BOT
21,304.01270837333334,305.71068588117913,ALB
22,251.63309525942856,260.97876297052176,ALB
23,122.74989307123809,121.02329030730253,BOT
24,248.83412266201094,242.85460223882785,BOT
25,275.90000274285717,,BOT
