Minisector,SAI,VET,Fastest
0,244.17442560688255,242.55471255281518,SAI
1,281.96862771489435,268.36733333333336,SAI
2,187.9715302469844,184.1382699685731,SAI
3,148.14296997477507,152.53350457200347,VET
4,256.26959454195395,256.2679012345679,SAI
5,268.5910256410256,260.1523765728395,SAI
6,211.58019044964217,206.57070707070707,SAI
7,192.91372549019607,199.67926472156864,VET
8,151.9402651561995,149.29979799649104,SAI
9,203.58822473667388,204.64040404040404,VET
10,270.98419047619046,264.43493591794874,SAI
11,124.36120273913222,130.23998642186868,VET
12,198.59331818385505,198.60303753415377,VET
13,273.6536190476191,263.8609214856295,SAI
14,302.75963203463203,285.8855903111111,SAI
15,317.9234904726085,290.98478260869564,SAI
16,269.00466666666665,256.15243916333424,SAI
17,128.1810728066813,135.46680518210675,VET
18,122.47726134974732,126.24286016348897,VET
19,115.04569202259887,119.34174105172835,VET
20,222.0274463311828,213.98620338110035,SAI
21,248.55555555555554,246.4457827646789,SAI
22,241.3478046738748,243.77633338807175,VET
23,216.94354838709677,218.67673933780304,VET
24,136.91074603212806,137.98309615303003,VET
25,215.0,206.73437706666667,SAI
