Minisector,RIC,NOR,Fastest
0,302.2159420753623,300.57807968198756,RIC
1,302.89903628480727,302.2496212363636,RIC
2,248.31543047901235,249.74532489288532,NOR
3,156.34823141897238,151.89964844391824,RIC
4,171.9032102970271,162.50644966297696,RIC
5,215.1360424711111,211.86931667342466,RIC
6,236.6452974947894,224.98928107583464,RIC
7,214.3147227022222,211.42711415896554,RIC
8,264.4634973415685,261.92674686914904,RIC
9,259.6518846655567,258.62425599263656,RIC
10,272.4916669681159,274.99795839752306,NOR
11,270.16324997333334,273.46362692180884,NOR
12,271.8332589650794,273.9041668888889,NOR
13,266.6383749228213,260.44449852342854,RIC
14,181.50707500843538,176.91609808364865,RIC
15,236.68593212175253,243.52764950582923,NOR
16,205.99741295714284,207.0565828563668,NOR
17,169.90585477600362,171.84695570345744,NOR
18,255.15288549743588,256.5673029184787,NOR
19,285.76875352273686,284.9297860256253,RIC
20,255.34887536410255,250.69857671351548,RIC
21,186.80977773699692,188.07033915948318,NOR
22,254.17786244102564,255.75098100557847,NOR
23,283.2230306409078,284.0356022105205,NOR
24,297.2001985523809,295.94071953939397,RIC
25,301.0,299.5541664,RIC
