Minisector,VET,PER,Fastest
0,268.42814650340136,286.40515393729436,PER
1,284.97197747854557,310.9216185682967,PER
2,291.01164807370947,316.9775934028011,PER
3,127.15828795088505,127.92709732958976,PER
4,199.9759602465915,204.50630314779542,PER
5,253.99256744336392,261.6627587622605,PER
6,142.99277972142903,141.19545019749373,VET
7,212.6498170662821,206.73369754498202,VET
8,258.844614646712,258.5031737904762,VET
9,276.9462796647619,282.64436036821394,PER
10,242.11427269988033,235.55235004768306,VET
11,178.41270713780548,176.82230279111113,VET
12,201.49871955434574,194.56278420689273,VET
13,144.19941562259226,141.25201909713445,VET
14,185.6855447591052,181.04950399492063,VET
15,164.60102798499278,165.1873510730014,PER
16,221.26440986599138,224.87187391111112,PER
17,239.1621376,237.0515732604081,VET
18,244.71702854492753,240.42777355263775,VET
19,234.75381536678896,233.49195288115942,VET
20,144.53622804926016,146.3471394768978,PER
21,131.53859128888888,132.43450042112812,PER
22,177.23608442500193,177.87638812444445,PER
23,151.84342298950992,152.02683412214583,PER
24,231.62965834135704,232.7527702626238,PER
25,256.4916672,,VET
