Minisector,PER,HAM,Fastest
0,320.94986983238687,323.5774270720802,HAM
1,329.75214862079173,337.4033499190476,HAM
2,326.4935070336508,346.18394894351815,HAM
3,200.50354819839953,185.81796508970035,PER
4,111.32743790983294,122.01036325528058,HAM
5,262.820875086011,263.1072566863021,HAM
6,299.95568001567943,298.2412767847995,PER
7,317.1204462072596,313.1726033646685,PER
8,266.6742480988523,265.9697050743259,PER
9,138.2991544347473,138.63913705653326,HAM
10,214.34240190483342,214.34476391617568,HAM
11,204.32048704487622,206.5121314130504,HAM
12,189.55336421541858,189.83573632530118,HAM
13,264.9755654184127,262.41257829148236,PER
14,300.90005143947894,299.71495236558223,PER
15,316.10194527982685,311.69588883186145,PER
16,257.50718529400933,258.8642942956557,HAM
17,204.33319377597545,204.888208109291,HAM
18,271.9007567329041,269.6428104090703,PER
19,306.97059766795576,304.02447063703704,PER
20,322.4752896442931,318.7438829361953,PER
21,309.30903438776335,298.92047225620337,PER
22,204.04591545804013,198.82822432738936,PER
23,260.51368481269844,256.5911767846603,PER
24,300.83561568312825,296.5375228922266,PER
25,312.9428571428572,308.29166648888884,PER
