Minisector,VER,RUS,Fastest
0,290.65655696891406,279.2217064929644,VER
1,152.8262709780882,157.72708744175702,RUS
2,145.69908944486187,146.428662771811,RUS
3,222.20340254866412,221.8701581383572,VER
4,284.56543081588933,278.9183058348052,VER
5,290.8691371466133,279.7918917656506,VER
6,139.683844470691,143.32300706573676,RUS
7,139.5011044383045,143.09550355457168,RUS
8,140.31170779716078,139.2358939990145,VER
9,184.44719994682757,184.19474010445703,VER
10,125.70033499083848,129.80992733774693,RUS
11,119.94640462825227,121.46425619080509,RUS
12,165.06338934378786,163.18083703284893,VER
13,267.14419325985386,262.9577782184139,VER
14,289.67635120380953,282.1982440525541,VER
15,152.03823229490717,147.19665486958584,VER
16,205.31495545279031,210.55737473241152,RUS
17,172.7003700972978,169.74235926355982,VER
18,272.47823107291947,264.35587071410794,VER
19,296.09618929291923,287.9943812354191,VER
20,311.4244211920131,300.6067680635373,VER
21,319.2925917233812,306.7045541859921,VER
22,321.6877273134545,309.5959306144855,VER
23,322.81648246729446,311.15825193073834,VER
24,323.84659089454544,309.375308145314,VER
25,324.21500032,303.9229168,VER
