Minisector,VER,PER,Fastest
0,279.62195558941795,284.3753434086478,PER
1,117.68878291760473,132.40416017790827,PER
2,156.49322277412168,160.0261589990715,PER
3,209.16402356441205,231.15062852498698,PER
4,160.31208595017637,163.24323547933508,PER
5,241.43075967602124,239.7967361415539,VER
6,231.60017610774614,234.18949667961368,PER
7,135.9542096155973,136.89577825950897,PER
8,233.6928457528757,231.5908383453804,VER
9,272.5917750559617,271.8261945722231,VER
10,281.05590068888887,284.0957755030997,PER
11,148.00217381541125,152.78790642752688,PER
12,216.34772478747763,219.72435453496735,PER
13,267.10382885829176,265.8892813196355,VER
14,270.7260860177915,271.00928620783066,PER
15,102.2645033448912,103.35890116545472,PER
16,216.86552338934135,217.81423167907647,PER
17,270.2727616048892,269.59069333117367,VER
18,290.11911215574816,289.64641773262787,VER
19,302.06264665681306,298.64064953698255,VER
20,308.78260424,304.089868896,VER
21,290.48456378695397,302.17944376888886,PER
22,150.55844203930633,154.97535734872332,PER
23,227.9417706660691,233.24015452598897,PER
24,271.5742713424455,271.2436115637646,VER
25,283.67142948571427,283.08333333333337,VER
