Minisector,PER,VER,Fastest
0,302.64079548657077,304.339996256,VER
1,155.039626305775,159.4995307469398,VER
2,147.25844215361064,153.70715386563063,VER
3,225.4460640590912,235.83322378239998,VER
4,287.6151578629095,286.41598924634303,PER
5,290.6814715398347,288.22979794882156,PER
6,141.15322342423335,146.7138868581755,VER
7,141.96428748914244,148.78076848851046,VER
8,144.4972546646634,142.72791291714583,PER
9,185.86141092519284,190.45211395749686,VER
10,126.47965323294484,132.18976822323415,VER
11,134.01803228170377,126.6686788839247,PER
12,159.1155727659925,162.49698823548346,VER
13,268.3196016,267.1637342741864,PER
14,291.5655328872727,297.7285651437037,VER
15,153.67033619285465,147.3001164038951,PER
16,198.3857854004535,208.22362268743686,VER
17,169.6176796624409,170.9528345027916,VER
18,271.22630585778086,271.85484984300143,VER
19,295.9567183610582,297.7031345801595,VER
20,311.12344105187304,312.38354255312794,VER
21,319.3966228710559,321.2037880193939,VER
22,323.47604169356725,325.9460606836364,VER
23,325.89923274816056,327.7113487157895,VER
24,326.56804686,328.48362576842106,VER
25,327.0,326.4702342095238,PER
