Minisector,PER,LEC,Fastest
0,293.5941900373804,281.582232125673,PER
1,320.4683112022611,297.7070296562358,PER
2,311.8718549237605,301.9032688834467,PER
3,182.59613628459138,178.90658216475993,PER
4,216.25841728897083,219.85141729229971,LEC
5,204.78147891436078,206.3520380972292,LEC
6,181.3714856589932,179.88104114688903,PER
7,206.84952305848307,205.19863294227795,PER
8,255.35287096801133,254.33206540374317,PER
9,264.41744397176853,266.2467066599831,LEC
10,161.80654702847923,171.455804290867,LEC
11,232.44794425805813,235.48270020576322,LEC
12,116.61933462263552,115.08576798373316,PER
13,224.3203811855501,221.14740363570525,PER
14,277.2604607808577,275.7909604829896,PER
15,292.15185830272316,294.0823700168111,LEC
16,207.7528984319029,227.93377005654256,LEC
17,189.6102172186611,179.71526187340294,PER
18,267.45895531249334,263.1684945416215,PER
19,293.3716095240513,291.1521513875696,PER
20,306.09326024965975,301.46307988444846,PER
21,307.9430010011806,303.94891106666665,PER
22,261.7281491771428,295.3013538147327,LEC
23,116.85171662114486,117.47228807069071,LEC
24,240.04650371914613,226.40013484159397,PER
25,274.65376150833544,265.44250112,PER
