Minisector,VET,PER,Fastest
0,311.08023084058203,293.7376369628981,VET
1,328.15225534292694,306.6386588310777,VET
2,314.35888145074455,287.3397515502363,VET
3,115.85901643251839,112.02017042262867,VET
4,224.867078020843,228.04381784667603,PER
5,264.8164222949904,268.98778846467445,PER
6,209.77755784344285,207.86935927387293,VET
7,160.4047903747009,165.2086560571674,PER
8,194.90154923029246,189.6313653392181,VET
9,213.55698073079736,211.29379814017133,VET
10,114.55979080411464,114.18837285588052,VET
11,230.8547290256728,230.8504082090905,VET
12,117.73671009229297,110.74575277110421,VET
13,225.8143904460047,221.75188124016802,VET
14,272.4610729195065,272.457159406302,VET
15,213.95964741652693,211.25046341560773,VET
16,201.4877332231974,202.78544094275264,PER
17,251.46840598566794,254.59184779130436,PER
18,200.72484172846077,201.62210430769375,PER
19,187.16208291868244,181.83854633386764,VET
20,271.53240411775124,269.76754998946313,VET
21,293.0713487591661,294.8256846171429,PER
22,167.90265591624095,158.1680189981079,VET
23,210.56690167473383,212.27742497786085,PER
24,275.2981618305999,275.3715436109347,PER
