Minisector,VER,GAS,Fastest
0,278.9673821491108,281.98869622648067,GAS
1,295.6685099804359,297.30986540691174,GAS
2,242.5073499841895,249.41648003642857,GAS
3,120.17706297777612,122.6609797156975,GAS
4,138.74124805706253,145.50565276930905,GAS
5,251.7225636751198,252.82732272699135,GAS
6,261.9516630259138,252.58214540538197,VER
7,129.10935983868254,130.76306125867595,GAS
8,246.07889341033786,250.28876790886875,GAS
9,264.7351311288479,268.3895833212121,GAS
10,215.03406140773552,216.49454365726749,GAS
11,148.79815834129315,149.65540772659594,GAS
12,211.55497560591417,215.58277890369865,GAS
13,261.55659634780824,261.9882665233622,GAS
14,119.77091471459131,120.05261696967617,GAS
15,196.4873998490067,210.39821095010507,GAS
16,256.8804029799129,263.06853626230213,GAS
17,284.8476885615993,288.6885730320697,GAS
18,295.31754498890996,297.51492411466467,GAS
19,299.8552083733333,299.85,VER
20,302.35437514666665,300.5957385473598,VER
21,164.3136576089771,154.80534106071676,VER
22,151.10614483538066,159.99464334610792,GAS
23,201.53634965185958,201.06980198529465,VER
24,235.7447944744515,231.66169091276677,VER
25,266.8500032,,VER
