Minisector,BOT,RAI,Fastest
0,284.78601239520214,298.97537429036544,RAI
1,258.74786816609424,251.5673828038095,BOT
2,275.2531876560854,271.2811126542837,BOT
3,280.15973419104336,297.0690674611527,RAI
4,135.25822159333632,133.55533689617982,BOT
5,210.95315632284513,217.73688336969985,RAI
6,266.2159702921674,273.0342389210576,RAI
7,287.8552565937721,292.78068864702425,RAI
8,296.92896188047285,301.5750637720277,RAI
9,300.99509020061737,304.7836697872114,RAI
10,277.8411443294487,276.85447979546683,BOT
11,100.49598661898544,100.63462335270644,RAI
12,223.8300730935058,229.4832770174049,RAI
13,273.63940308247396,278.1553240822032,RAI
14,273.84120258510586,269.8156450354924,BOT
15,135.35550602603155,130.99331699214576,BOT
16,215.35019891241546,211.87995809431578,BOT
17,263.0778864558997,264.34238044190477,RAI
18,259.3857403541403,242.46943774932134,BOT
19,250.55233379218598,242.5552422263716,BOT
20,152.48152445414914,150.53887726970004,BOT
21,191.99278572647378,198.39570725950713,RAI
22,188.1456455061967,177.2769082119482,BOT
23,201.8916632446017,197.08773425276243,BOT
24,257.60554044628424,258.71835775883153,RAI
