Minisector,HAM,VET,Fastest
0,271.6269712369231,272.17829869555555,VET
1,291.62609790210126,287.98268904748613,HAM
2,292.7502548592208,288.54185892525254,HAM
3,186.51898529081998,184.36880956380952,HAM
4,117.41760316719322,120.31025982179894,VET
5,232.8864838028681,232.71775520873328,HAM
6,274.55426044721503,274.4338513252131,HAM
7,288.45103203636364,284.90252131623845,HAM
8,183.69597121414967,178.3120759542984,HAM
9,141.52422401275538,142.52361204265054,VET
10,242.88691136727047,245.90918560606062,VET
11,283.57881892392555,282.67727122975305,HAM
12,298.50285305797826,295.34483626461883,HAM
13,276.53851901561904,269.3155785917915,HAM
14,292.7572974825488,287.27743347918664,HAM
15,300.55922077922077,290.95597386328234,HAM
16,253.68636109859364,236.13702973675214,HAM
17,227.4041919547475,215.65967106063215,HAM
18,273.53255688205866,268.10461458805196,HAM
19,294.754920995671,289.3602450157222,HAM
20,301.4003864052486,298.1732241924337,HAM
21,235.0431362389183,222.97460056215647,HAM
22,258.98565994937076,255.80111024405093,HAM
23,140.7905874071726,130.8380740599313,HAM
24,208.55829137912244,205.38239337939825,HAM
25,251.22142902857144,254.0,VET
